2574	3117	1
1072	3160	1
2777	3115	1
2860	3173	1
2860	3172	1
2860	3159	1
2860	3162	1
2052	3126	1
2602	3048	1
2446	3166	1
1040	3117	1
720	3126	1
922	3126	1
1880	3089	1
2961	3049	1
2224	3093	1
1173	3093	1
2785	3173	1
2785	3172	1
2785	3159	1
2785	3162	1
372	3140	1
2144	3091	1
2540	3160	1
2594	3117	1
2033	3091	1
1503	3140	1
2102	3172	1
805	3126	1
1618	3131	1
2401	3126	1
1078	3058	1
484	3153	1
186	3049	1
1759	3126	1
2088	3049	1
1512	3117	1
2731	3049	1
2244	3160	1
1295	3160	1
2690	3049	1
985	3048	1
1696	3140	1
562	3049	1
2122	3089	1
2956	3126	1
478	3093	1
1295	3140	1
663	3126	1
1656	3131	1
2890	3117	1
2742	3126	1
1176	3126	1
2144	3119	1
2663	3172	1
330	3049	1
2933	3166	1
1109	3093	1
545	3049	1
1960	3126	1
2614	3180	1
465	3119	1
2081	3117	1
2173	3089	1
1332	3119	1
376	3126	1
1215	3089	1
2489	3048	1
2543	3119	1
46	3119	1
1448	3049	1
2114	3172	1
1885	3126	1
2680	3115	1
133	3049	1
985	3093	1
2490	3115	1
2489	3131	1
1331	3119	1
624	3126	1
1236	3131	1
1888	3091	1
2720	3117	1
1067	3131	1
2471	3115	1
2506	3126	1
205	3180	1
378	3049	1
135	3091	1
1298	3093	1
949	3093	1
1440	3089	1
1310	3089	1
1070	3105	1
2455	3126	1
2789	3160	1
96	3093	1
1623	3117	1
1503	3160	1
190	3140	1
1104	3172	1
1157	3131	1
409	3117	1
2183	3119	1
738	3126	1
307	3049	1
2288	3172	1
1514	3126	1
104	3131	1
2035	3093	1
1685	3126	1
1114	3119	1
2299	3119	1
918	3115	1
557	3126	1
1226	3093	1
625	3117	1
1357	3117	1
840	3049	1
3036	3064	1
2220	3126	1
1945	3126	1
1502	3166	1
2518	3126	1
297	3119	1
1930	3091	1
2695	3117	1
2414	3131	1
1138	3048	1
766	3089	1
3039	3078	1
2282	3166	1
1351	3117	1
850	3049	1
2126	3180	1
1088	3119	1
1073	3083	1
2580	3126	1
885	3126	1
194	3049	1
2580	3091	1
2566	3126	1
2189	3048	1
1255	3115	1
1196	3126	1
853	3117	1
1071	3091	1
3010	3126	1
2918	3131	1
958	3126	1
404	3119	1
3039	3072	1
1040	3180	1
2025	3119	1
2582	3117	1
2166	3160	1
905	3131	1
2909	3126	1
2822	3153	1
2467	3131	1
959	3180	1
2353	3131	1
1789	3049	1
416	3115	1
3024	3126	1
764	3180	1
2673	3126	1
2021	3089	1
2603	3140	1
753	3126	1
1249	3126	1
2885	3126	1
352	3126	1
2319	3089	1
2516	3131	1
693	3126	1
1204	3166	1
1284	3049	1
2450	3126	1
5	3126	1
2489	3049	1
715	3126	1
998	3126	1
828	3049	1
2144	3160	1
1615	3126	1
2361	3126	1
346	3126	1
471	3049	1
2024	3166	1
1700	3126	1
2859	3115	1
11	3057	1
1500	3173	1
1500	3172	1
1500	3159	1
1500	3162	1
1162	3180	1
2816	3180	1
1428	3131	1
2280	3117	1
2056	3126	1
255	3119	1
489	3049	1
1157	3126	1
451	3166	1
472	3119	1
1269	3126	1
1201	3093	1
2727	3126	1
2887	3117	1
2941	3126	1
1208	3119	1
2474	3166	1
600	3126	1
2410	3173	1
2410	3172	1
2410	3159	1
2410	3162	1
2369	3126	1
2213	3055	1
157	3119	1
473	3049	1
2145	3048	1
2762	3172	1
2150	3117	1
2790	3117	1
2980	3049	1
1928	3091	1
1074	3143	1
1074	3174	1
1074	3161	1
885	3091	1
1540	3091	1
2260	3126	1
597	3093	1
298	3180	1
2702	3126	1
1611	3091	1
92	3126	1
700	3049	1
1956	3117	1
2126	3115	1
1909	3117	1
978	3180	1
2137	3126	1
2007	3131	1
2933	3126	1
1311	3126	1
270	3172	1
1312	3180	1
2393	3049	1
157	3126	1
2682	3117	1
1748	3126	1
1071	3093	1
2506	3172	1
1628	3093	1
2698	3126	1
963	3048	1
944	3126	1
1431	3117	1
954	3126	1
1166	3131	1
623	3089	1
2662	3180	1
1146	3093	1
1886	3093	1
2156	3172	1
1042	3126	1
3040	3054	1
2949	3166	1
848	3126	1
1016	3117	1
1502	3180	1
628	3117	1
231	3126	1
1045	3143	1
1045	3174	1
1045	3161	1
2189	3180	1
1626	3172	1
813	3166	1
1417	3117	1
971	3049	1
926	3140	1
